COD_ABI;BANCA
08133;CASSA RAIFFEISEN MERANO SOC. COOP. A R.L
08134;CASSA RAIFFEISEN DI MARLENGO SOC. COOP.
08135;CASSA RAIFFEISEN DI MELTINA SCRL RAIFFEI
08138;CASSA RURALE DI MEZZOCORONA B.C.C. S.C.P
08139;CASSA RURALE DI MEZZOLOMBARDO E SAN MICH
08140;CASSA RURALE VAL DI FASSA E AGORDINO B.C
08145;CASSA RURALE MORI - BRENTONICO  - VAL DI
08148;CASSA RURALE MONGUELFO-CASIES-TESIDO
08149;BANCA DI CREDITO COOPERATIVO DI BASCIANO
08154;BANCA DEL CILENTO CREDITO COOPERATIVO SC
08155;CASSA RAIFFEISEN DI NALLES SOC. COOP.
08157;CASSA RAIFFEISEN DI NATURNO
08161;CASSA RAIFFEISEN NOVA LEVANTE S.C.R.L.
08162;CASSA RAIFFEISEN DI NOVA PONENTE-ALDINO
08163;CASSA RURALE ALTA VALDISOLE E PEJO B.C.C
08167;CASSA RURALE OLLE-SAMONE-SCURELLE BCC SO
08175;CASSA RAIFFEISEN DI PARCINES S.C.
08178;CASSA RURALE DI PERGINE VALSUGANA
08179;CASSA RURALE DI PINZOLO
08182;CASSA RAIFFEISEN WIPPTAL SCRL
08183;CASSA RAIFFEISEN PRATO-TUBRE SOC.COOP
08184;CASSA RURALE DI FIEMME B.C.C. S.COOP.
08186;BANCA ATESTINA DI CREDITO COOP.  SC FUS.
08187;CASSA RURALE DI RENON SOC. COOP.RAIFFEIS
08189;BANCA DI CREDITO COOPERATIVO DELLA VALLE
08200;CASSA RURALE NOVELLA E ALTA ANAUNIA B.C.
08206;CASSA RURALE DI RONCEGNO
08209;CASSA RURALE DI ROVERE'DELLA LUNA
08210;CASSA RURALE DI ROVERETO - BANCADI CREDI
08214;CREDICOOP CERNUSCO SUL NAVIGLIO SC
08220;CASSA RURALE DI SALORNO
08226;CASSA RAIFFEISEN DI SAN MARTINO IN PASSI
08231;CASSA RURALE DI ULTIMO - S. PANCRAZIO -
08232;CASSA RURALE DI SAONE - BANCA DI CREDITO
08233;CASSA RAIFFEISEN VAL SARENTINO  S.C.
